"sk_evento","sk_grupo","sk_pessoa","sk_quadro_coluna","sk_data_evento","ocorrido_em","grupo","cartao_numero","acao","tipo_evento","coluna"
"23","1","16","-1","20260423","2026-04-23T17:54:59.295Z","G01","2","add","rotulo","ART.01"
"24","1","85","2","20260427","2026-04-27T17:04:44.691Z","G01","2","add","coluna","Doing"
"25","1","85","1","20260427","2026-04-27T17:04:44.691Z","G01","2","remove","coluna","Backlog"
"26","1","85","3","20260427","2026-04-27T17:13:51.068Z","G01","2","add","coluna","Waiting Review"
"27","1","85","2","20260427","2026-04-27T17:13:51.068Z","G01","2","remove","coluna","Doing"
"28","1","15","4","20260427","2026-04-27T17:30:16.167Z","G01","2","add","coluna","Review"
"29","1","15","3","20260427","2026-04-27T17:30:16.167Z","G01","2","remove","coluna","Waiting Review"
"30","1","15","4","20260427","2026-04-27T18:37:54.128Z","G01","2","remove","coluna","Review"
"31","1","14","-1","20260422","2026-04-22T17:46:17.460Z","G01","3","add","rotulo","NEGÓCIOS"
"32","1","13","1","20260422","2026-04-22T18:21:37.469Z","G01","3","add","coluna","Backlog"
"33","1","13","2","20260423","2026-04-23T17:24:10.264Z","G01","3","add","coluna","Doing"
"34","1","13","1","20260423","2026-04-23T17:24:10.264Z","G01","3","remove","coluna","Backlog"
"35","1","16","-1","20260423","2026-04-23T17:50:22.973Z","G01","3","add","rotulo","ART.01"
"36","1","13","3","20260423","2026-04-23T18:31:10.920Z","G01","3","add","coluna","Waiting Review"
"37","1","13","2","20260423","2026-04-23T18:31:10.920Z","G01","3","remove","coluna","Doing"
"38","1","15","4","20260423","2026-04-23T19:36:32.472Z","G01","3","add","coluna","Review"
"39","1","15","3","20260423","2026-04-23T19:36:32.472Z","G01","3","remove","coluna","Waiting Review"
"40","1","15","4","20260424","2026-04-24T11:59:31.516Z","G01","3","remove","coluna","Review"
"41","1","15","-1","20260424","2026-04-24T11:59:48.289Z","G01","3","add","rotulo","M"
"42","1","14","-1","20260422","2026-04-22T17:47:47.819Z","G01","4","add","rotulo","NEGÓCIOS"
"43","1","16","-1","20260423","2026-04-23T17:35:50.940Z","G01","4","add","rotulo","ART.01"
"44","1","23","1","20260428","2026-04-28T13:01:06.964Z","G01","4","add","coluna","Backlog"
"45","1","23","2","20260428","2026-04-28T13:01:15.512Z","G01","4","add","coluna","Doing"
"46","1","23","1","20260428","2026-04-28T13:01:15.512Z","G01","4","remove","coluna","Backlog"
"47","1","23","3","20260428","2026-04-28T13:01:17.715Z","G01","4","add","coluna","Waiting Review"
"48","1","23","2","20260428","2026-04-28T13:01:17.715Z","G01","4","remove","coluna","Doing"
"49","1","15","4","20260430","2026-04-30T01:39:00.392Z","G01","4","add","coluna","Review"
"50","1","15","3","20260430","2026-04-30T01:39:00.392Z","G01","4","remove","coluna","Waiting Review"
"51","1","15","4","20260502","2026-05-02T01:50:21.392Z","G01","4","remove","coluna","Review"
"52","1","15","-1","20260502","2026-05-02T03:02:24.363Z","G01","4","add","rotulo","M"
"53","1","14","-1","20260422","2026-04-22T17:49:00.486Z","G01","5","add","rotulo","DOCUMENTATION"
"54","1","15","-1","20260502","2026-05-02T14:24:21.733Z","G01","5","add","rotulo","M"
"55","1","15","2","20260502","2026-05-02T14:24:24.375Z","G01","5","add","coluna","Doing"
"56","1","15","3","20260504","2026-05-04T14:25:12.301Z","G01","5","add","coluna","Waiting Review"
"57","1","15","2","20260504","2026-05-04T14:25:12.301Z","G01","5","remove","coluna","Doing"
"58","1","15","4","20260504","2026-05-04T14:25:15.348Z","G01","5","add","coluna","Review"
"59","1","15","3","20260504","2026-05-04T14:25:15.348Z","G01","5","remove","coluna","Waiting Review"
"60","1","15","4","20260504","2026-05-04T14:25:19.756Z","G01","5","remove","coluna","Review"
"61","1","14","-1","20260422","2026-04-22T17:51:06.838Z","G01","6","add","rotulo","NEGÓCIOS"
"62","1","16","-1","20260423","2026-04-23T17:36:04.205Z","G01","6","add","rotulo","ART.01"
"63","1","17","1","20260427","2026-04-27T17:44:22.458Z","G01","6","add","coluna","Backlog"
"64","1","17","2","20260427","2026-04-27T17:44:31.994Z","G01","6","add","coluna","Doing"
"65","1","17","1","20260427","2026-04-27T17:44:31.994Z","G01","6","remove","coluna","Backlog"
"66","1","17","-1","20260427","2026-04-27T17:44:41.953Z","G01","6","add","rotulo","M"
"67","1","17","-1","20260427","2026-04-27T17:44:58.614Z","G01","6","add","rotulo","DOCUMENTATION"
"68","1","17","3","20260427","2026-04-27T19:36:16.269Z","G01","6","add","coluna","Waiting Review"
"69","1","17","2","20260427","2026-04-27T19:36:16.269Z","G01","6","remove","coluna","Doing"
"70","1","15","4","20260430","2026-04-30T01:38:58.870Z","G01","6","add","coluna","Review"
"71","1","15","3","20260430","2026-04-30T01:38:58.870Z","G01","6","remove","coluna","Waiting Review"
"72","1","15","4","20260502","2026-05-02T01:50:15.721Z","G01","6","remove","coluna","Review"
"73","1","14","-1","20260422","2026-04-22T17:52:04.925Z","G01","7","add","rotulo","NEGÓCIOS"
"74","1","16","-1","20260423","2026-04-23T17:53:55.192Z","G01","7","add","rotulo","ART.01"
"75","1","14","2","20260427","2026-04-27T17:51:40.599Z","G01","7","add","coluna","Doing"
"76","1","14","-1","20260427","2026-04-27T18:45:14.349Z","G01","7","add","rotulo","M"
"77","1","14","3","20260427","2026-04-27T20:54:04.922Z","G01","7","add","coluna","Waiting Review"
"78","1","14","2","20260427","2026-04-27T20:54:04.922Z","G01","7","remove","coluna","Doing"
"79","1","15","4","20260430","2026-04-30T01:38:51.568Z","G01","7","add","coluna","Review"
"80","1","15","3","20260430","2026-04-30T01:38:51.568Z","G01","7","remove","coluna","Waiting Review"
"81","1","15","4","20260502","2026-05-02T02:56:10.900Z","G01","7","remove","coluna","Review"
"82","1","14","-1","20260423","2026-04-23T17:30:30.881Z","G01","8","add","rotulo","DESIGN"
"83","1","16","-1","20260423","2026-04-23T17:55:50.793Z","G01","8","add","rotulo","ART.02"
"84","1","85","1","20260428","2026-04-28T12:26:11.423Z","G01","8","add","coluna","Backlog"
"85","1","85","1","20260428","2026-04-28T12:26:29.195Z","G01","8","remove","coluna","Backlog"
"86","1","85","1","20260428","2026-04-28T13:01:32.920Z","G01","8","add","coluna","Backlog"
"87","1","85","-1","20260428","2026-04-28T13:01:51.242Z","G01","8","add","rotulo","M"
"88","1","85","2","20260428","2026-04-28T13:01:54.257Z","G01","8","add","coluna","Doing"
"89","1","85","1","20260428","2026-04-28T13:01:54.257Z","G01","8","remove","coluna","Backlog"
"90","1","85","3","20260428","2026-04-28T13:47:32.495Z","G01","8","add","coluna","Waiting Review"
"91","1","85","2","20260428","2026-04-28T13:47:32.495Z","G01","8","remove","coluna","Doing"
"92","1","15","4","20260430","2026-04-30T01:39:04.719Z","G01","8","add","coluna","Review"
"93","1","15","3","20260430","2026-04-30T01:39:04.719Z","G01","8","remove","coluna","Waiting Review"
"94","1","12","4","20260501","2026-05-01T23:43:53.038Z","G01","8","remove","coluna","Review"
"95","1","14","-1","20260423","2026-04-23T17:30:20.910Z","G01","9","add","rotulo","DESIGN"
"96","1","16","-1","20260423","2026-04-23T17:56:09.934Z","G01","9","add","rotulo","ART.02"
"97","1","85","1","20260428","2026-04-28T13:04:05.069Z","G01","9","add","coluna","Backlog"
"98","1","85","2","20260428","2026-04-28T17:21:32.393Z","G01","9","add","coluna","Doing"
"99","1","85","1","20260428","2026-04-28T17:21:32.393Z","G01","9","remove","coluna","Backlog"
"100","1","85","-1","20260428","2026-04-28T17:51:04.969Z","G01","9","add","rotulo","G"
"101","1","85","3","20260428","2026-04-28T18:03:38.964Z","G01","9","add","coluna","Waiting Review"
"102","1","85","2","20260428","2026-04-28T18:03:38.964Z","G01","9","remove","coluna","Doing"
"103","1","15","4","20260430","2026-04-30T01:39:12.364Z","G01","9","add","coluna","Review"
"104","1","15","3","20260430","2026-04-30T01:39:12.364Z","G01","9","remove","coluna","Waiting Review"
"105","1","12","4","20260501","2026-05-01T23:43:50.726Z","G01","9","remove","coluna","Review"
"106","1","14","-1","20260423","2026-04-23T17:30:09.863Z","G01","10","add","rotulo","DESIGN"
"107","1","16","-1","20260423","2026-04-23T17:56:20.575Z","G01","10","add","rotulo","ART.02"
"108","1","15","1","20260428","2026-04-28T13:06:39.057Z","G01","10","add","coluna","Backlog"
"109","1","12","2","20260501","2026-05-01T23:43:41.401Z","G01","10","add","coluna","Doing"
"110","1","12","1","20260501","2026-05-01T23:43:41.401Z","G01","10","remove","coluna","Backlog"
"111","1","12","3","20260501","2026-05-01T23:43:43.866Z","G01","10","add","coluna","Waiting Review"
"112","1","12","2","20260501","2026-05-01T23:43:43.866Z","G01","10","remove","coluna","Doing"
"113","1","12","4","20260501","2026-05-01T23:43:47.111Z","G01","10","add","coluna","Review"
"114","1","12","3","20260501","2026-05-01T23:43:47.111Z","G01","10","remove","coluna","Waiting Review"
"115","1","12","4","20260501","2026-05-01T23:43:49.448Z","G01","10","remove","coluna","Review"
"116","1","14","-1","20260502","2026-05-02T03:02:08.944Z","G01","10","add","rotulo","M"
"117","1","14","-1","20260423","2026-04-23T17:29:13.243Z","G01","11","add","rotulo","DESIGN"
"118","1","14","-1","20260423","2026-04-23T17:29:23.824Z","G01","11","remove","rotulo","DESIGN"
"119","1","14","-1","20260423","2026-04-23T17:29:38.839Z","G01","11","add","rotulo","CODE"
"120","1","16","-1","20260423","2026-04-23T17:56:48.766Z","G01","11","add","rotulo","ART.03"
"121","1","16","1","20260428","2026-04-28T13:04:07.997Z","G01","11","add","coluna","Backlog"
"122","1","15","2","20260428","2026-04-28T17:01:54.634Z","G01","11","add","coluna","Doing"
"123","1","15","1","20260428","2026-04-28T17:01:54.634Z","G01","11","remove","coluna","Backlog"
"124","1","15","3","20260429","2026-04-29T18:12:22.617Z","G01","11","add","coluna","Waiting Review"
"125","1","15","2","20260429","2026-04-29T18:12:22.617Z","G01","11","remove","coluna","Doing"
"126","1","12","4","20260501","2026-05-01T19:42:07.615Z","G01","11","add","coluna","Review"
"127","1","12","3","20260501","2026-05-01T19:42:07.615Z","G01","11","remove","coluna","Waiting Review"
"128","1","12","4","20260501","2026-05-01T23:43:03.393Z","G01","11","remove","coluna","Review"
"129","1","15","-1","20260502","2026-05-02T03:00:41.806Z","G01","11","add","rotulo","M"
"130","1","14","-1","20260423","2026-04-23T17:29:03.168Z","G01","12","add","rotulo","CODE"
"131","1","16","-1","20260423","2026-04-23T17:56:58.215Z","G01","12","add","rotulo","ART.03"
"132","1","17","1","20260428","2026-04-28T13:06:42.386Z","G01","12","add","coluna","Backlog"
"133","1","17","2","20260428","2026-04-28T17:01:28.566Z","G01","12","add","coluna","Doing"
"134","1","17","1","20260428","2026-04-28T17:01:28.566Z","G01","12","remove","coluna","Backlog"
"135","1","17","-1","20260428","2026-04-28T17:01:37.398Z","G01","12","add","rotulo","M"
"136","1","17","3","20260428","2026-04-28T18:49:51.599Z","G01","12","add","coluna","Waiting Review"
"137","1","17","2","20260428","2026-04-28T18:49:51.599Z","G01","12","remove","coluna","Doing"
"138","1","15","4","20260430","2026-04-30T01:40:14.603Z","G01","12","add","coluna","Review"
"139","1","15","3","20260430","2026-04-30T01:40:14.603Z","G01","12","remove","coluna","Waiting Review"
"140","1","15","4","20260502","2026-05-02T01:50:20.729Z","G01","12","remove","coluna","Review"
"141","1","14","-1","20260423","2026-04-23T17:31:31.306Z","G01","13","add","rotulo","CODE"
"142","1","16","-1","20260423","2026-04-23T17:57:10.089Z","G01","13","add","rotulo","ART.03"
"143","1","16","1","20260428","2026-04-28T13:04:45.277Z","G01","13","add","coluna","Backlog"
"144","1","16","2","20260428","2026-04-28T18:22:01.867Z","G01","13","add","coluna","Doing"
"145","1","16","1","20260428","2026-04-28T18:22:01.867Z","G01","13","remove","coluna","Backlog"
"146","1","16","3","20260428","2026-04-28T18:56:26.922Z","G01","13","add","coluna","Waiting Review"
"147","1","16","2","20260428","2026-04-28T18:56:26.922Z","G01","13","remove","coluna","Doing"
"148","1","15","4","20260430","2026-04-30T01:39:13.976Z","G01","13","add","coluna","Review"
"149","1","15","3","20260430","2026-04-30T01:39:13.976Z","G01","13","remove","coluna","Waiting Review"
"150","1","12","4","20260501","2026-05-01T23:43:05.271Z","G01","13","remove","coluna","Review"
"151","1","14","-1","20260502","2026-05-02T03:01:56.208Z","G01","13","add","rotulo","M"
"152","1","14","-1","20260423","2026-04-23T17:33:09.185Z","G01","14","add","rotulo","CODE"
"153","1","16","-1","20260423","2026-04-23T17:57:20.768Z","G01","14","add","rotulo","ART.03"
"154","1","13","1","20260428","2026-04-28T13:07:19.576Z","G01","14","add","coluna","Backlog"
"155","1","13","2","20260428","2026-04-28T17:45:43.931Z","G01","14","add","coluna","Doing"
"156","1","13","1","20260428","2026-04-28T17:45:43.931Z","G01","14","remove","coluna","Backlog"
"157","1","13","3","20260430","2026-04-30T11:14:42.858Z","G01","14","add","coluna","Waiting Review"
"158","1","13","2","20260430","2026-04-30T11:14:42.858Z","G01","14","remove","coluna","Doing"
"159","1","12","4","20260501","2026-05-01T19:42:25.822Z","G01","14","add","coluna","Review"
"160","1","12","3","20260501","2026-05-01T19:42:25.822Z","G01","14","remove","coluna","Waiting Review"
"161","1","12","4","20260501","2026-05-01T23:42:50.782Z","G01","14","remove","coluna","Review"
"162","1","14","-1","20260502","2026-05-02T03:01:37.705Z","G01","14","add","rotulo","M"
"163","1","23","2","20260423","2026-04-23T17:34:00.489Z","G01","15","add","coluna","Doing"
"164","1","23","-1","20260423","2026-04-23T17:34:38.798Z","G01","15","add","rotulo","NEGÓCIOS"
"165","1","23","-1","20260423","2026-04-23T17:34:38.798Z","G01","15","add","rotulo","P"
"166","1","16","-1","20260423","2026-04-23T17:35:29.872Z","G01","15","add","rotulo","ART.01"
"167","1","16","-1","20260423","2026-04-23T17:35:29.872Z","G01","15","remove","rotulo","NEGÓCIOS"
"168","1","16","-1","20260423","2026-04-23T17:35:29.872Z","G01","15","remove","rotulo","P"
"169","1","23","3","20260423","2026-04-23T17:36:58.279Z","G01","15","add","coluna","Waiting Review"
"170","1","23","2","20260423","2026-04-23T17:36:58.279Z","G01","15","remove","coluna","Doing"
"171","1","23","-1","20260423","2026-04-23T18:40:45.818Z","G01","15","add","rotulo","NEGÓCIOS"
"172","1","23","-1","20260423","2026-04-23T18:40:45.818Z","G01","15","add","rotulo","P"
"173","1","15","4","20260423","2026-04-23T18:41:49.907Z","G01","15","add","coluna","Review"
"174","1","15","3","20260423","2026-04-23T18:41:49.907Z","G01","15","remove","coluna","Waiting Review"
"175","1","15","4","20260423","2026-04-23T19:36:35.217Z","G01","15","remove","coluna","Review"
"176","1","14","-1","20260423","2026-04-23T17:34:44.623Z","G01","16","add","rotulo","CODE"
"177","1","16","-1","20260423","2026-04-23T17:57:30.324Z","G01","16","add","rotulo","ART.03"
"178","1","14","1","20260428","2026-04-28T13:04:45.196Z","G01","16","add","coluna","Backlog"
"179","1","14","2","20260428","2026-04-28T16:57:58.152Z","G01","16","add","coluna","Doing"
"180","1","14","1","20260428","2026-04-28T16:57:58.152Z","G01","16","remove","coluna","Backlog"
"181","1","14","-1","20260428","2026-04-28T17:04:25.033Z","G01","16","add","rotulo","M"
"182","1","14","3","20260429","2026-04-29T11:37:13.104Z","G01","16","add","coluna","Waiting Review"
"183","1","14","2","20260429","2026-04-29T11:37:13.104Z","G01","16","remove","coluna","Doing"
"184","1","15","4","20260430","2026-04-30T01:39:08.669Z","G01","16","add","coluna","Review"
"185","1","15","3","20260430","2026-04-30T01:39:08.669Z","G01","16","remove","coluna","Waiting Review"
"186","1","12","4","20260501","2026-05-01T23:43:51.825Z","G01","16","remove","coluna","Review"
"187","1","15","-1","20260423","2026-04-23T18:36:03.027Z","G01","17","add","rotulo","DOCUMENTATION"
"188","1","15","-1","20260423","2026-04-23T18:36:19.755Z","G01","17","add","rotulo","M"
"189","1","15","2","20260423","2026-04-23T18:37:49.171Z","G01","17","add","coluna","Doing"
"190","1","15","-1","20260423","2026-04-23T18:38:31.125Z","G01","17","remove","rotulo","DOCUMENTATION"
"191","1","15","-1","20260423","2026-04-23T18:38:49.797Z","G01","17","add","rotulo","DESIGN"
"192","1","15","3","20260423","2026-04-23T19:36:23.642Z","G01","17","add","coluna","Waiting Review"
"193","1","15","2","20260423","2026-04-23T19:36:23.642Z","G01","17","remove","coluna","Doing"
"194","1","16","-1","20260424","2026-04-24T12:01:44.854Z","G01","17","add","rotulo","ART.01"
"195","1","12","4","20260427","2026-04-27T17:49:57.045Z","G01","17","add","coluna","Review"
"196","1","12","3","20260427","2026-04-27T17:49:57.045Z","G01","17","remove","coluna","Waiting Review"
"197","1","14","4","20260428","2026-04-28T00:54:37.553Z","G01","17","remove","coluna","Review"
"198","1","14","-1","20260424","2026-04-24T02:43:31.825Z","G01","18","add","rotulo","ART.01"
"199","1","14","-1","20260424","2026-04-24T02:43:31.825Z","G01","18","add","rotulo","NEGÓCIOS"
"200","1","14","2","20260428","2026-04-28T01:21:15.232Z","G01","18","add","coluna","Doing"
"201","1","14","3","20260428","2026-04-28T17:45:09.022Z","G01","18","add","coluna","Waiting Review"
"202","1","14","2","20260428","2026-04-28T17:45:09.022Z","G01","18","remove","coluna","Doing"
"203","1","14","-1","20260428","2026-04-28T17:45:21.526Z","G01","18","add","rotulo","M"
"204","1","15","4","20260430","2026-04-30T01:39:02.156Z","G01","18","add","coluna","Review"
"205","1","15","3","20260430","2026-04-30T01:39:02.156Z","G01","18","remove","coluna","Waiting Review"
"206","1","15","4","20260502","2026-05-02T01:50:19.431Z","G01","18","remove","coluna","Review"
"207","1","14","-1","20260427","2026-04-27T17:10:38.304Z","G01","19","add","rotulo","CODE"
"208","1","14","-1","20260427","2026-04-27T17:10:38.304Z","G01","19","add","rotulo","DESIGN"
"209","1","14","2","20260427","2026-04-27T17:11:20.704Z","G01","19","add","coluna","Doing"
"210","1","14","3","20260427","2026-04-27T17:41:36.994Z","G01","19","add","coluna","Waiting Review"
"211","1","14","2","20260427","2026-04-27T17:41:36.994Z","G01","19","remove","coluna","Doing"
"212","1","14","-1","20260427","2026-04-27T17:44:11.683Z","G01","19","add","rotulo","P"
"213","1","15","4","20260430","2026-04-30T01:39:03.329Z","G01","19","add","coluna","Review"
"214","1","15","3","20260430","2026-04-30T01:39:03.329Z","G01","19","remove","coluna","Waiting Review"
"215","1","15","4","20260502","2026-05-02T01:50:16.562Z","G01","19","remove","coluna","Review"
"216","1","15","-1","20260427","2026-04-27T17:18:29.989Z","G01","20","add","rotulo","DOCUMENTATION"
"217","1","15","-1","20260427","2026-04-27T17:18:29.989Z","G01","20","add","rotulo","M"
"218","1","15","2","20260427","2026-04-27T17:18:45.301Z","G01","20","add","coluna","Doing"
"219","1","15","3","20260427","2026-04-27T18:37:46.748Z","G01","20","add","coluna","Waiting Review"
"220","1","15","2","20260427","2026-04-27T18:37:46.748Z","G01","20","remove","coluna","Doing"
"221","1","14","4","20260428","2026-04-28T16:52:47.112Z","G01","20","add","coluna","Review"
"222","1","14","3","20260428","2026-04-28T16:52:47.112Z","G01","20","remove","coluna","Waiting Review"
"223","1","14","4","20260429","2026-04-29T11:37:28.172Z","G01","20","remove","coluna","Review"
"224","1","15","-1","20260430","2026-04-30T01:39:57.938Z","G01","20","add","rotulo","ART.01"
"225","1","12","-1","20260427","2026-04-27T17:19:28.699Z","G01","21","add","rotulo","ART.01"
"226","1","12","-1","20260427","2026-04-27T17:19:28.699Z","G01","21","add","rotulo","DESIGN"
"227","1","12","-1","20260427","2026-04-27T17:19:28.699Z","G01","21","add","rotulo","DOCUMENTATION"
"228","1","12","-1","20260427","2026-04-27T17:19:28.699Z","G01","21","add","rotulo","NEGÓCIOS"
"229","1","12","-1","20260427","2026-04-27T17:19:46.315Z","G01","21","add","rotulo","M"
"230","1","12","1","20260427","2026-04-27T17:20:12.133Z","G01","21","add","coluna","Backlog"
"231","1","12","2","20260427","2026-04-27T17:20:14.638Z","G01","21","add","coluna","Doing"
"232","1","12","1","20260427","2026-04-27T17:20:14.638Z","G01","21","remove","coluna","Backlog"
"233","1","12","3","20260427","2026-04-27T18:40:26.736Z","G01","21","add","coluna","Waiting Review"
"234","1","12","2","20260427","2026-04-27T18:40:26.736Z","G01","21","remove","coluna","Doing"
"235","1","15","4","20260430","2026-04-30T01:38:46.727Z","G01","21","add","coluna","Review"
"236","1","15","3","20260430","2026-04-30T01:38:46.727Z","G01","21","remove","coluna","Waiting Review"
"237","1","14","4","20260502","2026-05-02T01:51:32.245Z","G01","21","remove","coluna","Review"
"238","1","12","-1","20260427","2026-04-27T17:22:46.817Z","G01","22","add","rotulo","ART.01"
"239","1","12","-1","20260427","2026-04-27T17:22:46.817Z","G01","22","add","rotulo","DOCUMENTATION"
"240","1","12","-1","20260427","2026-04-27T17:22:46.817Z","G01","22","add","rotulo","M"
"241","1","12","-1","20260427","2026-04-27T17:22:46.817Z","G01","22","add","rotulo","NEGÓCIOS"
"242","1","12","1","20260427","2026-04-27T17:23:01.734Z","G01","22","add","coluna","Backlog"
"243","1","12","2","20260427","2026-04-27T17:23:03.915Z","G01","22","add","coluna","Doing"
"244","1","12","1","20260427","2026-04-27T17:23:03.915Z","G01","22","remove","coluna","Backlog"
"245","1","12","3","20260427","2026-04-27T18:40:24.401Z","G01","22","add","coluna","Waiting Review"
"246","1","12","2","20260427","2026-04-27T18:40:24.401Z","G01","22","remove","coluna","Doing"
"247","1","15","4","20260430","2026-04-30T01:38:48.466Z","G01","22","add","coluna","Review"
"248","1","15","3","20260430","2026-04-30T01:38:48.466Z","G01","22","remove","coluna","Waiting Review"
"249","1","14","4","20260502","2026-05-02T01:51:29.285Z","G01","22","remove","coluna","Review"
"250","1","14","-1","20260427","2026-04-27T17:45:30.972Z","G01","23","add","rotulo","ART.01"
"251","1","14","-1","20260427","2026-04-27T17:45:30.972Z","G01","23","add","rotulo","DOCUMENTATION"
"252","1","14","-1","20260427","2026-04-27T17:45:30.972Z","G01","23","add","rotulo","NEGÓCIOS"
"253","1","16","-1","20260427","2026-04-27T17:48:36.109Z","G01","23","add","rotulo","DESIGN"
"254","1","16","-1","20260427","2026-04-27T17:48:36.109Z","G01","23","remove","rotulo","DOCUMENTATION"
"255","1","16","-1","20260427","2026-04-27T17:48:38.784Z","G01","23","remove","rotulo","NEGÓCIOS"
"256","1","16","2","20260427","2026-04-27T17:49:30.222Z","G01","23","add","coluna","Doing"
"257","1","16","3","20260428","2026-04-28T00:21:57.722Z","G01","23","add","coluna","Waiting Review"
"258","1","16","2","20260428","2026-04-28T00:21:57.722Z","G01","23","remove","coluna","Doing"
"259","1","14","4","20260428","2026-04-28T00:54:47.523Z","G01","23","add","coluna","Review"
"260","1","14","3","20260428","2026-04-28T00:54:47.523Z","G01","23","remove","coluna","Waiting Review"
"261","1","14","4","20260428","2026-04-28T16:52:33.455Z","G01","23","remove","coluna","Review"
"262","1","14","-1","20260502","2026-05-02T03:01:27.196Z","G01","23","add","rotulo","M"
"263","1","16","-1","20260427","2026-04-27T17:47:45.933Z","G01","24","add","rotulo","ART.01"
"264","1","16","-1","20260427","2026-04-27T17:47:45.933Z","G01","24","add","rotulo","DOCUMENTATION"
"265","1","16","-1","20260427","2026-04-27T17:47:45.933Z","G01","24","add","rotulo","NEGÓCIOS"
"266","1","13","1","20260427","2026-04-27T17:51:38.917Z","G01","24","add","coluna","Backlog"
"267","1","13","-1","20260427","2026-04-27T17:52:26.471Z","G01","24","add","rotulo","G"
"268","1","13","2","20260427","2026-04-27T17:52:59.379Z","G01","24","add","coluna","Doing"
"269","1","13","1","20260427","2026-04-27T17:52:59.379Z","G01","24","remove","coluna","Backlog"
"270","1","13","3","20260428","2026-04-28T11:37:56.213Z","G01","24","add","coluna","Waiting Review"
"271","1","13","2","20260428","2026-04-28T11:37:56.213Z","G01","24","remove","coluna","Doing"
"272","1","15","4","20260430","2026-04-30T01:39:07.475Z","G01","24","add","coluna","Review"
"273","1","15","3","20260430","2026-04-30T01:39:07.475Z","G01","24","remove","coluna","Waiting Review"
"274","1","15","4","20260502","2026-05-02T01:50:14.806Z","G01","24","remove","coluna","Review"
"275","1","12","-1","20260428","2026-04-28T02:32:15.819Z","G01","25","add","rotulo","ART.01"
"276","1","12","-1","20260428","2026-04-28T02:32:15.819Z","G01","25","add","rotulo","DOCUMENTATION"
"277","1","12","-1","20260428","2026-04-28T02:32:15.819Z","G01","25","add","rotulo","M"
"278","1","12","-1","20260428","2026-04-28T02:32:15.819Z","G01","25","add","rotulo","NEGÓCIOS"
"279","1","12","1","20260428","2026-04-28T02:32:26.917Z","G01","25","add","coluna","Backlog"
"280","1","12","2","20260428","2026-04-28T02:32:28.728Z","G01","25","add","coluna","Doing"
"281","1","12","1","20260428","2026-04-28T02:32:28.728Z","G01","25","remove","coluna","Backlog"
"282","1","12","-1","20260428","2026-04-28T02:33:33.977Z","G01","25","remove","rotulo","NEGÓCIOS"
"283","1","12","-1","20260428","2026-04-28T02:33:45.600Z","G01","25","add","rotulo","NEGÓCIOS"
"284","1","12","-1","20260428","2026-04-28T02:33:55.350Z","G01","25","remove","rotulo","NEGÓCIOS"
"285","1","12","-1","20260428","2026-04-28T02:34:01.510Z","G01","25","add","rotulo","DESIGN"
"286","1","12","3","20260429","2026-04-29T13:04:14.100Z","G01","25","add","coluna","Waiting Review"
"287","1","12","2","20260429","2026-04-29T13:04:14.100Z","G01","25","remove","coluna","Doing"
