"sk_data","data","ano","trimestre","mes","nome_mes","dia","dia_semana_num","nome_dia_semana","eh_fim_de_semana"
"20220211","2022-02-11","2022","1","2","Fevereiro","11","5","Sexta-feira","0"
"20220212","2022-02-12","2022","1","2","Fevereiro","12","6","Sabado","1"
"20220213","2022-02-13","2022","1","2","Fevereiro","13","0","Domingo","1"
"20220214","2022-02-14","2022","1","2","Fevereiro","14","1","Segunda-feira","0"
"20220215","2022-02-15","2022","1","2","Fevereiro","15","2","Terca-feira","0"
"20220216","2022-02-16","2022","1","2","Fevereiro","16","3","Quarta-feira","0"
"20220217","2022-02-17","2022","1","2","Fevereiro","17","4","Quinta-feira","0"
"20220218","2022-02-18","2022","1","2","Fevereiro","18","5","Sexta-feira","0"
"20220219","2022-02-19","2022","1","2","Fevereiro","19","6","Sabado","1"
"20220220","2022-02-20","2022","1","2","Fevereiro","20","0","Domingo","1"
"20220221","2022-02-21","2022","1","2","Fevereiro","21","1","Segunda-feira","0"
"20220222","2022-02-22","2022","1","2","Fevereiro","22","2","Terca-feira","0"
"20220223","2022-02-23","2022","1","2","Fevereiro","23","3","Quarta-feira","0"
"20220224","2022-02-24","2022","1","2","Fevereiro","24","4","Quinta-feira","0"
"20220225","2022-02-25","2022","1","2","Fevereiro","25","5","Sexta-feira","0"
"20220226","2022-02-26","2022","1","2","Fevereiro","26","6","Sabado","1"
"20220227","2022-02-27","2022","1","2","Fevereiro","27","0","Domingo","1"
"20220228","2022-02-28","2022","1","2","Fevereiro","28","1","Segunda-feira","0"
"20220301","2022-03-01","2022","1","3","Marco","1","2","Terca-feira","0"
"20220302","2022-03-02","2022","1","3","Marco","2","3","Quarta-feira","0"
"20220303","2022-03-03","2022","1","3","Marco","3","4","Quinta-feira","0"
"20220304","2022-03-04","2022","1","3","Marco","4","5","Sexta-feira","0"
"20220305","2022-03-05","2022","1","3","Marco","5","6","Sabado","1"
"20220306","2022-03-06","2022","1","3","Marco","6","0","Domingo","1"
"20220307","2022-03-07","2022","1","3","Marco","7","1","Segunda-feira","0"
"20220308","2022-03-08","2022","1","3","Marco","8","2","Terca-feira","0"
"20220309","2022-03-09","2022","1","3","Marco","9","3","Quarta-feira","0"
"20220310","2022-03-10","2022","1","3","Marco","10","4","Quinta-feira","0"
"20220311","2022-03-11","2022","1","3","Marco","11","5","Sexta-feira","0"
"20220312","2022-03-12","2022","1","3","Marco","12","6","Sabado","1"
"20220313","2022-03-13","2022","1","3","Marco","13","0","Domingo","1"
"20220314","2022-03-14","2022","1","3","Marco","14","1","Segunda-feira","0"
"20220315","2022-03-15","2022","1","3","Marco","15","2","Terca-feira","0"
"20220316","2022-03-16","2022","1","3","Marco","16","3","Quarta-feira","0"
"20220317","2022-03-17","2022","1","3","Marco","17","4","Quinta-feira","0"
"20220318","2022-03-18","2022","1","3","Marco","18","5","Sexta-feira","0"
"20220319","2022-03-19","2022","1","3","Marco","19","6","Sabado","1"
"20220320","2022-03-20","2022","1","3","Marco","20","0","Domingo","1"
"20220321","2022-03-21","2022","1","3","Marco","21","1","Segunda-feira","0"
"20220322","2022-03-22","2022","1","3","Marco","22","2","Terca-feira","0"
"20220323","2022-03-23","2022","1","3","Marco","23","3","Quarta-feira","0"
"20220324","2022-03-24","2022","1","3","Marco","24","4","Quinta-feira","0"
"20220325","2022-03-25","2022","1","3","Marco","25","5","Sexta-feira","0"
"20220326","2022-03-26","2022","1","3","Marco","26","6","Sabado","1"
"20220327","2022-03-27","2022","1","3","Marco","27","0","Domingo","1"
"20220328","2022-03-28","2022","1","3","Marco","28","1","Segunda-feira","0"
"20220329","2022-03-29","2022","1","3","Marco","29","2","Terca-feira","0"
"20220330","2022-03-30","2022","1","3","Marco","30","3","Quarta-feira","0"
"20220331","2022-03-31","2022","1","3","Marco","31","4","Quinta-feira","0"
"20220401","2022-04-01","2022","2","4","Abril","1","5","Sexta-feira","0"
"20220402","2022-04-02","2022","2","4","Abril","2","6","Sabado","1"
"20220403","2022-04-03","2022","2","4","Abril","3","0","Domingo","1"
"20220404","2022-04-04","2022","2","4","Abril","4","1","Segunda-feira","0"
"20220405","2022-04-05","2022","2","4","Abril","5","2","Terca-feira","0"
"20220406","2022-04-06","2022","2","4","Abril","6","3","Quarta-feira","0"
"20220407","2022-04-07","2022","2","4","Abril","7","4","Quinta-feira","0"
"20220408","2022-04-08","2022","2","4","Abril","8","5","Sexta-feira","0"
"20220409","2022-04-09","2022","2","4","Abril","9","6","Sabado","1"
"20220410","2022-04-10","2022","2","4","Abril","10","0","Domingo","1"
"20220411","2022-04-11","2022","2","4","Abril","11","1","Segunda-feira","0"
"20220412","2022-04-12","2022","2","4","Abril","12","2","Terca-feira","0"
"20220413","2022-04-13","2022","2","4","Abril","13","3","Quarta-feira","0"
"20220414","2022-04-14","2022","2","4","Abril","14","4","Quinta-feira","0"
"20220415","2022-04-15","2022","2","4","Abril","15","5","Sexta-feira","0"
"20220416","2022-04-16","2022","2","4","Abril","16","6","Sabado","1"
"20220417","2022-04-17","2022","2","4","Abril","17","0","Domingo","1"
"20220418","2022-04-18","2022","2","4","Abril","18","1","Segunda-feira","0"
"20220419","2022-04-19","2022","2","4","Abril","19","2","Terca-feira","0"
"20220420","2022-04-20","2022","2","4","Abril","20","3","Quarta-feira","0"
"20220421","2022-04-21","2022","2","4","Abril","21","4","Quinta-feira","0"
"20220422","2022-04-22","2022","2","4","Abril","22","5","Sexta-feira","0"
"20220423","2022-04-23","2022","2","4","Abril","23","6","Sabado","1"
"20220424","2022-04-24","2022","2","4","Abril","24","0","Domingo","1"
"20220425","2022-04-25","2022","2","4","Abril","25","1","Segunda-feira","0"
"20220426","2022-04-26","2022","2","4","Abril","26","2","Terca-feira","0"
"20220427","2022-04-27","2022","2","4","Abril","27","3","Quarta-feira","0"
"20220428","2022-04-28","2022","2","4","Abril","28","4","Quinta-feira","0"
"20220429","2022-04-29","2022","2","4","Abril","29","5","Sexta-feira","0"
"20220430","2022-04-30","2022","2","4","Abril","30","6","Sabado","1"
"20220501","2022-05-01","2022","2","5","Maio","1","0","Domingo","1"
"20220502","2022-05-02","2022","2","5","Maio","2","1","Segunda-feira","0"
"20220503","2022-05-03","2022","2","5","Maio","3","2","Terca-feira","0"
"20220504","2022-05-04","2022","2","5","Maio","4","3","Quarta-feira","0"
"20220505","2022-05-05","2022","2","5","Maio","5","4","Quinta-feira","0"
"20220506","2022-05-06","2022","2","5","Maio","6","5","Sexta-feira","0"
"20220507","2022-05-07","2022","2","5","Maio","7","6","Sabado","1"
"20220508","2022-05-08","2022","2","5","Maio","8","0","Domingo","1"
"20220509","2022-05-09","2022","2","5","Maio","9","1","Segunda-feira","0"
"20220510","2022-05-10","2022","2","5","Maio","10","2","Terca-feira","0"
"20220511","2022-05-11","2022","2","5","Maio","11","3","Quarta-feira","0"
"20220512","2022-05-12","2022","2","5","Maio","12","4","Quinta-feira","0"
"20220513","2022-05-13","2022","2","5","Maio","13","5","Sexta-feira","0"
"20220514","2022-05-14","2022","2","5","Maio","14","6","Sabado","1"
"20220515","2022-05-15","2022","2","5","Maio","15","0","Domingo","1"
"20220516","2022-05-16","2022","2","5","Maio","16","1","Segunda-feira","0"
"20220517","2022-05-17","2022","2","5","Maio","17","2","Terca-feira","0"
"20220518","2022-05-18","2022","2","5","Maio","18","3","Quarta-feira","0"
"20220519","2022-05-19","2022","2","5","Maio","19","4","Quinta-feira","0"
"20220520","2022-05-20","2022","2","5","Maio","20","5","Sexta-feira","0"
"20220521","2022-05-21","2022","2","5","Maio","21","6","Sabado","1"
"20220522","2022-05-22","2022","2","5","Maio","22","0","Domingo","1"
"20220523","2022-05-23","2022","2","5","Maio","23","1","Segunda-feira","0"
"20220524","2022-05-24","2022","2","5","Maio","24","2","Terca-feira","0"
"20220525","2022-05-25","2022","2","5","Maio","25","3","Quarta-feira","0"
"20220526","2022-05-26","2022","2","5","Maio","26","4","Quinta-feira","0"
"20220527","2022-05-27","2022","2","5","Maio","27","5","Sexta-feira","0"
"20220528","2022-05-28","2022","2","5","Maio","28","6","Sabado","1"
"20220529","2022-05-29","2022","2","5","Maio","29","0","Domingo","1"
"20220530","2022-05-30","2022","2","5","Maio","30","1","Segunda-feira","0"
"20220531","2022-05-31","2022","2","5","Maio","31","2","Terca-feira","0"
"20220601","2022-06-01","2022","2","6","Junho","1","3","Quarta-feira","0"
"20220602","2022-06-02","2022","2","6","Junho","2","4","Quinta-feira","0"
"20220603","2022-06-03","2022","2","6","Junho","3","5","Sexta-feira","0"
"20220604","2022-06-04","2022","2","6","Junho","4","6","Sabado","1"
"20220605","2022-06-05","2022","2","6","Junho","5","0","Domingo","1"
"20220606","2022-06-06","2022","2","6","Junho","6","1","Segunda-feira","0"
"20220607","2022-06-07","2022","2","6","Junho","7","2","Terca-feira","0"
"20220608","2022-06-08","2022","2","6","Junho","8","3","Quarta-feira","0"
"20220609","2022-06-09","2022","2","6","Junho","9","4","Quinta-feira","0"
"20220610","2022-06-10","2022","2","6","Junho","10","5","Sexta-feira","0"
"20220611","2022-06-11","2022","2","6","Junho","11","6","Sabado","1"
"20220612","2022-06-12","2022","2","6","Junho","12","0","Domingo","1"
"20220613","2022-06-13","2022","2","6","Junho","13","1","Segunda-feira","0"
"20220614","2022-06-14","2022","2","6","Junho","14","2","Terca-feira","0"
"20220615","2022-06-15","2022","2","6","Junho","15","3","Quarta-feira","0"
"20220616","2022-06-16","2022","2","6","Junho","16","4","Quinta-feira","0"
"20220617","2022-06-17","2022","2","6","Junho","17","5","Sexta-feira","0"
"20220618","2022-06-18","2022","2","6","Junho","18","6","Sabado","1"
"20220619","2022-06-19","2022","2","6","Junho","19","0","Domingo","1"
"20220620","2022-06-20","2022","2","6","Junho","20","1","Segunda-feira","0"
"20220621","2022-06-21","2022","2","6","Junho","21","2","Terca-feira","0"
"20220622","2022-06-22","2022","2","6","Junho","22","3","Quarta-feira","0"
"20220623","2022-06-23","2022","2","6","Junho","23","4","Quinta-feira","0"
"20220624","2022-06-24","2022","2","6","Junho","24","5","Sexta-feira","0"
"20220625","2022-06-25","2022","2","6","Junho","25","6","Sabado","1"
"20220626","2022-06-26","2022","2","6","Junho","26","0","Domingo","1"
"20220627","2022-06-27","2022","2","6","Junho","27","1","Segunda-feira","0"
"20220628","2022-06-28","2022","2","6","Junho","28","2","Terca-feira","0"
"20220629","2022-06-29","2022","2","6","Junho","29","3","Quarta-feira","0"
"20220630","2022-06-30","2022","2","6","Junho","30","4","Quinta-feira","0"
"20220701","2022-07-01","2022","3","7","Julho","1","5","Sexta-feira","0"
"20220702","2022-07-02","2022","3","7","Julho","2","6","Sabado","1"
"20220703","2022-07-03","2022","3","7","Julho","3","0","Domingo","1"
"20220704","2022-07-04","2022","3","7","Julho","4","1","Segunda-feira","0"
"20220705","2022-07-05","2022","3","7","Julho","5","2","Terca-feira","0"
"20220706","2022-07-06","2022","3","7","Julho","6","3","Quarta-feira","0"
"20220707","2022-07-07","2022","3","7","Julho","7","4","Quinta-feira","0"
"20220708","2022-07-08","2022","3","7","Julho","8","5","Sexta-feira","0"
"20220709","2022-07-09","2022","3","7","Julho","9","6","Sabado","1"
"20220710","2022-07-10","2022","3","7","Julho","10","0","Domingo","1"
"20220711","2022-07-11","2022","3","7","Julho","11","1","Segunda-feira","0"
"20220712","2022-07-12","2022","3","7","Julho","12","2","Terca-feira","0"
"20220713","2022-07-13","2022","3","7","Julho","13","3","Quarta-feira","0"
"20220714","2022-07-14","2022","3","7","Julho","14","4","Quinta-feira","0"
"20220715","2022-07-15","2022","3","7","Julho","15","5","Sexta-feira","0"
"20220716","2022-07-16","2022","3","7","Julho","16","6","Sabado","1"
"20220717","2022-07-17","2022","3","7","Julho","17","0","Domingo","1"
"20220718","2022-07-18","2022","3","7","Julho","18","1","Segunda-feira","0"
"20220719","2022-07-19","2022","3","7","Julho","19","2","Terca-feira","0"
"20220720","2022-07-20","2022","3","7","Julho","20","3","Quarta-feira","0"
"20220721","2022-07-21","2022","3","7","Julho","21","4","Quinta-feira","0"
"20220722","2022-07-22","2022","3","7","Julho","22","5","Sexta-feira","0"
"20220723","2022-07-23","2022","3","7","Julho","23","6","Sabado","1"
"20220724","2022-07-24","2022","3","7","Julho","24","0","Domingo","1"
"20220725","2022-07-25","2022","3","7","Julho","25","1","Segunda-feira","0"
"20220726","2022-07-26","2022","3","7","Julho","26","2","Terca-feira","0"
"20220727","2022-07-27","2022","3","7","Julho","27","3","Quarta-feira","0"
"20220728","2022-07-28","2022","3","7","Julho","28","4","Quinta-feira","0"
"20220729","2022-07-29","2022","3","7","Julho","29","5","Sexta-feira","0"
"20220730","2022-07-30","2022","3","7","Julho","30","6","Sabado","1"
"20220731","2022-07-31","2022","3","7","Julho","31","0","Domingo","1"
"20220801","2022-08-01","2022","3","8","Agosto","1","1","Segunda-feira","0"
"20220802","2022-08-02","2022","3","8","Agosto","2","2","Terca-feira","0"
"20220803","2022-08-03","2022","3","8","Agosto","3","3","Quarta-feira","0"
"20220804","2022-08-04","2022","3","8","Agosto","4","4","Quinta-feira","0"
"20220805","2022-08-05","2022","3","8","Agosto","5","5","Sexta-feira","0"
"20220806","2022-08-06","2022","3","8","Agosto","6","6","Sabado","1"
"20220807","2022-08-07","2022","3","8","Agosto","7","0","Domingo","1"
"20220808","2022-08-08","2022","3","8","Agosto","8","1","Segunda-feira","0"
"20220809","2022-08-09","2022","3","8","Agosto","9","2","Terca-feira","0"
"20220810","2022-08-10","2022","3","8","Agosto","10","3","Quarta-feira","0"
"20220811","2022-08-11","2022","3","8","Agosto","11","4","Quinta-feira","0"
"20220812","2022-08-12","2022","3","8","Agosto","12","5","Sexta-feira","0"
"20220813","2022-08-13","2022","3","8","Agosto","13","6","Sabado","1"
"20220814","2022-08-14","2022","3","8","Agosto","14","0","Domingo","1"
"20220815","2022-08-15","2022","3","8","Agosto","15","1","Segunda-feira","0"
"20220816","2022-08-16","2022","3","8","Agosto","16","2","Terca-feira","0"
"20220817","2022-08-17","2022","3","8","Agosto","17","3","Quarta-feira","0"
"20220818","2022-08-18","2022","3","8","Agosto","18","4","Quinta-feira","0"
"20220819","2022-08-19","2022","3","8","Agosto","19","5","Sexta-feira","0"
"20220820","2022-08-20","2022","3","8","Agosto","20","6","Sabado","1"
"20220821","2022-08-21","2022","3","8","Agosto","21","0","Domingo","1"
"20220822","2022-08-22","2022","3","8","Agosto","22","1","Segunda-feira","0"
"20220823","2022-08-23","2022","3","8","Agosto","23","2","Terca-feira","0"
"20220824","2022-08-24","2022","3","8","Agosto","24","3","Quarta-feira","0"
"20220825","2022-08-25","2022","3","8","Agosto","25","4","Quinta-feira","0"
"20220826","2022-08-26","2022","3","8","Agosto","26","5","Sexta-feira","0"
"20220827","2022-08-27","2022","3","8","Agosto","27","6","Sabado","1"
"20220828","2022-08-28","2022","3","8","Agosto","28","0","Domingo","1"
"20220829","2022-08-29","2022","3","8","Agosto","29","1","Segunda-feira","0"
"20220830","2022-08-30","2022","3","8","Agosto","30","2","Terca-feira","0"
"20220831","2022-08-31","2022","3","8","Agosto","31","3","Quarta-feira","0"
"20220901","2022-09-01","2022","3","9","Setembro","1","4","Quinta-feira","0"
"20220902","2022-09-02","2022","3","9","Setembro","2","5","Sexta-feira","0"
"20220903","2022-09-03","2022","3","9","Setembro","3","6","Sabado","1"
"20220904","2022-09-04","2022","3","9","Setembro","4","0","Domingo","1"
"20220905","2022-09-05","2022","3","9","Setembro","5","1","Segunda-feira","0"
"20220906","2022-09-06","2022","3","9","Setembro","6","2","Terca-feira","0"
"20220907","2022-09-07","2022","3","9","Setembro","7","3","Quarta-feira","0"
"20220908","2022-09-08","2022","3","9","Setembro","8","4","Quinta-feira","0"
"20220909","2022-09-09","2022","3","9","Setembro","9","5","Sexta-feira","0"
"20220910","2022-09-10","2022","3","9","Setembro","10","6","Sabado","1"
"20220911","2022-09-11","2022","3","9","Setembro","11","0","Domingo","1"
"20220912","2022-09-12","2022","3","9","Setembro","12","1","Segunda-feira","0"
"20220913","2022-09-13","2022","3","9","Setembro","13","2","Terca-feira","0"
"20220914","2022-09-14","2022","3","9","Setembro","14","3","Quarta-feira","0"
"20220915","2022-09-15","2022","3","9","Setembro","15","4","Quinta-feira","0"
"20220916","2022-09-16","2022","3","9","Setembro","16","5","Sexta-feira","0"
"20220917","2022-09-17","2022","3","9","Setembro","17","6","Sabado","1"
"20220918","2022-09-18","2022","3","9","Setembro","18","0","Domingo","1"
"20220919","2022-09-19","2022","3","9","Setembro","19","1","Segunda-feira","0"
"20220920","2022-09-20","2022","3","9","Setembro","20","2","Terca-feira","0"
"20220921","2022-09-21","2022","3","9","Setembro","21","3","Quarta-feira","0"
"20220922","2022-09-22","2022","3","9","Setembro","22","4","Quinta-feira","0"
"20220923","2022-09-23","2022","3","9","Setembro","23","5","Sexta-feira","0"
"20220924","2022-09-24","2022","3","9","Setembro","24","6","Sabado","1"
"20220925","2022-09-25","2022","3","9","Setembro","25","0","Domingo","1"
"20220926","2022-09-26","2022","3","9","Setembro","26","1","Segunda-feira","0"
"20220927","2022-09-27","2022","3","9","Setembro","27","2","Terca-feira","0"
"20220928","2022-09-28","2022","3","9","Setembro","28","3","Quarta-feira","0"
"20220929","2022-09-29","2022","3","9","Setembro","29","4","Quinta-feira","0"
"20220930","2022-09-30","2022","3","9","Setembro","30","5","Sexta-feira","0"
"20221001","2022-10-01","2022","4","10","Outubro","1","6","Sabado","1"
"20221002","2022-10-02","2022","4","10","Outubro","2","0","Domingo","1"
"20221003","2022-10-03","2022","4","10","Outubro","3","1","Segunda-feira","0"
"20221004","2022-10-04","2022","4","10","Outubro","4","2","Terca-feira","0"
"20221005","2022-10-05","2022","4","10","Outubro","5","3","Quarta-feira","0"
"20221006","2022-10-06","2022","4","10","Outubro","6","4","Quinta-feira","0"
"20221007","2022-10-07","2022","4","10","Outubro","7","5","Sexta-feira","0"
"20221008","2022-10-08","2022","4","10","Outubro","8","6","Sabado","1"
"20221009","2022-10-09","2022","4","10","Outubro","9","0","Domingo","1"
"20221010","2022-10-10","2022","4","10","Outubro","10","1","Segunda-feira","0"
"20221011","2022-10-11","2022","4","10","Outubro","11","2","Terca-feira","0"
"20221012","2022-10-12","2022","4","10","Outubro","12","3","Quarta-feira","0"
"20221013","2022-10-13","2022","4","10","Outubro","13","4","Quinta-feira","0"
"20221014","2022-10-14","2022","4","10","Outubro","14","5","Sexta-feira","0"
"20221015","2022-10-15","2022","4","10","Outubro","15","6","Sabado","1"
"20221016","2022-10-16","2022","4","10","Outubro","16","0","Domingo","1"
"20221017","2022-10-17","2022","4","10","Outubro","17","1","Segunda-feira","0"
"20221018","2022-10-18","2022","4","10","Outubro","18","2","Terca-feira","0"
"20221019","2022-10-19","2022","4","10","Outubro","19","3","Quarta-feira","0"
"20221020","2022-10-20","2022","4","10","Outubro","20","4","Quinta-feira","0"
"20221021","2022-10-21","2022","4","10","Outubro","21","5","Sexta-feira","0"
"20221022","2022-10-22","2022","4","10","Outubro","22","6","Sabado","1"
"20221023","2022-10-23","2022","4","10","Outubro","23","0","Domingo","1"
"20221024","2022-10-24","2022","4","10","Outubro","24","1","Segunda-feira","0"
"20221025","2022-10-25","2022","4","10","Outubro","25","2","Terca-feira","0"
"20221026","2022-10-26","2022","4","10","Outubro","26","3","Quarta-feira","0"
"20221027","2022-10-27","2022","4","10","Outubro","27","4","Quinta-feira","0"
"20221028","2022-10-28","2022","4","10","Outubro","28","5","Sexta-feira","0"
"20221029","2022-10-29","2022","4","10","Outubro","29","6","Sabado","1"
"20221030","2022-10-30","2022","4","10","Outubro","30","0","Domingo","1"
"20221031","2022-10-31","2022","4","10","Outubro","31","1","Segunda-feira","0"
"20221101","2022-11-01","2022","4","11","Novembro","1","2","Terca-feira","0"
"20221102","2022-11-02","2022","4","11","Novembro","2","3","Quarta-feira","0"
"20221103","2022-11-03","2022","4","11","Novembro","3","4","Quinta-feira","0"
"20221104","2022-11-04","2022","4","11","Novembro","4","5","Sexta-feira","0"
"20221105","2022-11-05","2022","4","11","Novembro","5","6","Sabado","1"
"20221106","2022-11-06","2022","4","11","Novembro","6","0","Domingo","1"
"20221107","2022-11-07","2022","4","11","Novembro","7","1","Segunda-feira","0"
"20221108","2022-11-08","2022","4","11","Novembro","8","2","Terca-feira","0"
"20221109","2022-11-09","2022","4","11","Novembro","9","3","Quarta-feira","0"
"20221110","2022-11-10","2022","4","11","Novembro","10","4","Quinta-feira","0"
"20221111","2022-11-11","2022","4","11","Novembro","11","5","Sexta-feira","0"
"20221112","2022-11-12","2022","4","11","Novembro","12","6","Sabado","1"
"20221113","2022-11-13","2022","4","11","Novembro","13","0","Domingo","1"
"20221114","2022-11-14","2022","4","11","Novembro","14","1","Segunda-feira","0"
"20221115","2022-11-15","2022","4","11","Novembro","15","2","Terca-feira","0"
"20221116","2022-11-16","2022","4","11","Novembro","16","3","Quarta-feira","0"
"20221117","2022-11-17","2022","4","11","Novembro","17","4","Quinta-feira","0"
"20221118","2022-11-18","2022","4","11","Novembro","18","5","Sexta-feira","0"
"20221119","2022-11-19","2022","4","11","Novembro","19","6","Sabado","1"
"20221120","2022-11-20","2022","4","11","Novembro","20","0","Domingo","1"
"20221121","2022-11-21","2022","4","11","Novembro","21","1","Segunda-feira","0"
"20221122","2022-11-22","2022","4","11","Novembro","22","2","Terca-feira","0"
"20221123","2022-11-23","2022","4","11","Novembro","23","3","Quarta-feira","0"
"20221124","2022-11-24","2022","4","11","Novembro","24","4","Quinta-feira","0"
"20221125","2022-11-25","2022","4","11","Novembro","25","5","Sexta-feira","0"
"20221126","2022-11-26","2022","4","11","Novembro","26","6","Sabado","1"
"20221127","2022-11-27","2022","4","11","Novembro","27","0","Domingo","1"
"20221128","2022-11-28","2022","4","11","Novembro","28","1","Segunda-feira","0"
"20221129","2022-11-29","2022","4","11","Novembro","29","2","Terca-feira","0"
"20221130","2022-11-30","2022","4","11","Novembro","30","3","Quarta-feira","0"
"20221201","2022-12-01","2022","4","12","Dezembro","1","4","Quinta-feira","0"
"20221202","2022-12-02","2022","4","12","Dezembro","2","5","Sexta-feira","0"
"20221203","2022-12-03","2022","4","12","Dezembro","3","6","Sabado","1"
"20221204","2022-12-04","2022","4","12","Dezembro","4","0","Domingo","1"
"20221205","2022-12-05","2022","4","12","Dezembro","5","1","Segunda-feira","0"
"20221206","2022-12-06","2022","4","12","Dezembro","6","2","Terca-feira","0"
"20221207","2022-12-07","2022","4","12","Dezembro","7","3","Quarta-feira","0"
"20221208","2022-12-08","2022","4","12","Dezembro","8","4","Quinta-feira","0"
"20221209","2022-12-09","2022","4","12","Dezembro","9","5","Sexta-feira","0"
"20221210","2022-12-10","2022","4","12","Dezembro","10","6","Sabado","1"
"20221211","2022-12-11","2022","4","12","Dezembro","11","0","Domingo","1"
"20221212","2022-12-12","2022","4","12","Dezembro","12","1","Segunda-feira","0"
"20221213","2022-12-13","2022","4","12","Dezembro","13","2","Terca-feira","0"
"20221214","2022-12-14","2022","4","12","Dezembro","14","3","Quarta-feira","0"
"20221215","2022-12-15","2022","4","12","Dezembro","15","4","Quinta-feira","0"
"20221216","2022-12-16","2022","4","12","Dezembro","16","5","Sexta-feira","0"
"20221217","2022-12-17","2022","4","12","Dezembro","17","6","Sabado","1"
"20221218","2022-12-18","2022","4","12","Dezembro","18","0","Domingo","1"
"20221219","2022-12-19","2022","4","12","Dezembro","19","1","Segunda-feira","0"
"20221220","2022-12-20","2022","4","12","Dezembro","20","2","Terca-feira","0"
"20221221","2022-12-21","2022","4","12","Dezembro","21","3","Quarta-feira","0"
"20221222","2022-12-22","2022","4","12","Dezembro","22","4","Quinta-feira","0"
"20221223","2022-12-23","2022","4","12","Dezembro","23","5","Sexta-feira","0"
"20221224","2022-12-24","2022","4","12","Dezembro","24","6","Sabado","1"
"20221225","2022-12-25","2022","4","12","Dezembro","25","0","Domingo","1"
"20221226","2022-12-26","2022","4","12","Dezembro","26","1","Segunda-feira","0"
"20221227","2022-12-27","2022","4","12","Dezembro","27","2","Terca-feira","0"
"20221228","2022-12-28","2022","4","12","Dezembro","28","3","Quarta-feira","0"
"20221229","2022-12-29","2022","4","12","Dezembro","29","4","Quinta-feira","0"
"20221230","2022-12-30","2022","4","12","Dezembro","30","5","Sexta-feira","0"
"20221231","2022-12-31","2022","4","12","Dezembro","31","6","Sabado","1"
"20230101","2023-01-01","2023","1","1","Janeiro","1","0","Domingo","1"
