grupo,cartao_numero,acao,coluna,pessoa_id,ocorrido_em
G01,21,add,Waiting Review,G01-A12,2026-04-27T18:40:26.736Z
G01,21,remove,Doing,G01-A12,2026-04-27T18:40:26.736Z
G01,21,add,Review,G01-A15,2026-04-30T01:38:46.727Z
G01,21,remove,Waiting Review,G01-A15,2026-04-30T01:38:46.727Z
G01,21,remove,Review,G01-A14,2026-05-02T01:51:32.245Z
G01,22,add,DOCUMENTATION,G01-A12,2026-04-27T17:22:46.817Z
G01,22,add,M,G01-A12,2026-04-27T17:22:46.817Z
G01,22,add,NEGÓCIOS,G01-A12,2026-04-27T17:22:46.817Z
G01,22,add,ART.01,G01-A12,2026-04-27T17:22:46.817Z
G01,22,add,Backlog,G01-A12,2026-04-27T17:23:01.734Z
G01,22,add,Doing,G01-A12,2026-04-27T17:23:03.915Z
G01,22,remove,Backlog,G01-A12,2026-04-27T17:23:03.915Z
G01,22,add,Waiting Review,G01-A12,2026-04-27T18:40:24.401Z
G01,22,remove,Doing,G01-A12,2026-04-27T18:40:24.401Z
G01,22,add,Review,G01-A15,2026-04-30T01:38:48.466Z
G01,22,remove,Waiting Review,G01-A15,2026-04-30T01:38:48.466Z
G01,22,remove,Review,G01-A14,2026-05-02T01:51:29.285Z
G01,23,add,DOCUMENTATION,G01-A14,2026-04-27T17:45:30.972Z
G01,23,add,NEGÓCIOS,G01-A14,2026-04-27T17:45:30.972Z
G01,23,add,ART.01,G01-A14,2026-04-27T17:45:30.972Z
G01,23,add,DESIGN,G01-A16,2026-04-27T17:48:36.109Z
G01,23,remove,DOCUMENTATION,G01-A16,2026-04-27T17:48:36.109Z
G01,23,remove,NEGÓCIOS,G01-A16,2026-04-27T17:48:38.784Z
G01,23,add,Doing,G01-A16,2026-04-27T17:49:30.222Z
G01,23,add,Waiting Review,G01-A16,2026-04-28T00:21:57.722Z
G01,23,remove,Doing,G01-A16,2026-04-28T00:21:57.722Z
G01,23,add,Review,G01-A14,2026-04-28T00:54:47.523Z
G01,23,remove,Waiting Review,G01-A14,2026-04-28T00:54:47.523Z
G01,23,remove,Review,G01-A14,2026-04-28T16:52:33.455Z
G01,23,add,M,G01-A14,2026-05-02T03:01:27.196Z
G01,24,add,ART.01,G01-A16,2026-04-27T17:47:45.933Z
G01,24,add,DOCUMENTATION,G01-A16,2026-04-27T17:47:45.933Z
G01,24,add,NEGÓCIOS,G01-A16,2026-04-27T17:47:45.933Z
G01,24,add,Backlog,G01-A13,2026-04-27T17:51:38.917Z
G01,24,add,G,G01-A13,2026-04-27T17:52:26.471Z
G01,24,add,Doing,G01-A13,2026-04-27T17:52:59.379Z
G01,24,remove,Backlog,G01-A13,2026-04-27T17:52:59.379Z
G01,24,add,Waiting Review,G01-A13,2026-04-28T11:37:56.213Z
G01,24,remove,Doing,G01-A13,2026-04-28T11:37:56.213Z
G01,24,add,Review,G01-A15,2026-04-30T01:39:07.475Z
G01,24,remove,Waiting Review,G01-A15,2026-04-30T01:39:07.475Z
G01,24,remove,Review,G01-A15,2026-05-02T01:50:14.806Z
G01,25,add,DOCUMENTATION,G01-A12,2026-04-28T02:32:15.819Z
G01,25,add,M,G01-A12,2026-04-28T02:32:15.819Z
G01,25,add,NEGÓCIOS,G01-A12,2026-04-28T02:32:15.819Z
G01,25,add,ART.01,G01-A12,2026-04-28T02:32:15.819Z
G01,25,add,Backlog,G01-A12,2026-04-28T02:32:26.917Z
G01,25,add,Doing,G01-A12,2026-04-28T02:32:28.728Z
G01,25,remove,Backlog,G01-A12,2026-04-28T02:32:28.728Z
G01,25,remove,NEGÓCIOS,G01-A12,2026-04-28T02:33:33.977Z
G01,25,add,NEGÓCIOS,G01-A12,2026-04-28T02:33:45.600Z
G01,25,remove,NEGÓCIOS,G01-A12,2026-04-28T02:33:55.350Z
G01,25,add,DESIGN,G01-A12,2026-04-28T02:34:01.510Z
G01,25,add,Waiting Review,G01-A12,2026-04-29T13:04:14.100Z
G01,25,remove,Doing,G01-A12,2026-04-29T13:04:14.100Z
G01,25,add,Review,G01-A15,2026-05-02T01:50:27.166Z
G01,25,remove,Waiting Review,G01-A15,2026-05-02T01:50:27.166Z
G01,25,remove,Review,G01-A14,2026-05-02T01:51:41.895Z
G01,26,add,DOCUMENTATION,G01-A12,2026-04-28T02:33:15.292Z
G01,26,add,DESIGN,G01-A12,2026-04-28T02:33:15.292Z
G01,26,add,G,G01-A12,2026-04-28T02:33:15.292Z
G01,26,add,NEGÓCIOS,G01-A12,2026-04-28T02:33:15.292Z
G01,26,add,ART.01,G01-A12,2026-04-28T02:33:15.292Z
G01,26,remove,NEGÓCIOS,G01-A12,2026-04-28T02:33:24.851Z
G01,26,add,Backlog,G01-A12,2026-04-28T02:34:04.289Z
G01,26,add,Doing,G01-A12,2026-04-28T02:34:06.395Z
G01,26,remove,Backlog,G01-A12,2026-04-28T02:34:06.395Z
G01,26,add,Waiting Review,G01-A12,2026-04-29T13:04:11.829Z
G01,26,remove,Doing,G01-A12,2026-04-29T13:04:11.829Z
G01,26,add,Review,G01-A15,2026-04-30T01:40:23.553Z
G01,26,remove,Waiting Review,G01-A15,2026-04-30T01:40:23.553Z
G01,26,remove,Review,G01-A15,2026-05-02T01:50:17.938Z
G01,27,add,DOCUMENTATION,G01-A15,2026-04-28T17:01:21.178Z
G01,27,add,DESIGN,G01-A15,2026-04-28T17:01:21.178Z
G01,27,add,P,G01-A15,2026-04-28T17:01:21.178Z
G01,27,add,NEGÓCIOS,G01-A15,2026-04-28T17:01:21.178Z
G01,27,add,ART.01,G01-A15,2026-04-28T17:01:21.178Z
G01,27,add,Doing,G01-A15,2026-04-28T17:01:26.330Z
G01,27,add,Waiting Review,G01-A15,2026-04-28T18:00:37.082Z
G01,27,remove,Doing,G01-A15,2026-04-28T18:00:37.082Z
G01,27,add,Review,G01-A12,2026-05-01T19:42:10.654Z
G01,27,remove,Waiting Review,G01-A12,2026-05-01T19:42:10.654Z
G01,27,remove,Review,G01-A12,2026-05-01T23:43:01.165Z
G01,28,add,Backlog,G01-A12,2026-04-28T18:06:30.711Z
G01,28,add,DOCUMENTATION,G01-A12,2026-04-28T18:06:50.872Z
G01,28,add,DESIGN,G01-A12,2026-04-28T18:06:50.872Z
G01,28,add,ART.01,G01-A12,2026-04-28T18:06:50.872Z
G01,28,add,M,G01-A12,2026-04-28T18:07:08.911Z
G01,28,add,Doing,G01-A12,2026-04-28T18:07:16.474Z
G01,28,remove,Backlog,G01-A12,2026-04-28T18:07:16.474Z
G01,28,add,Waiting Review,G01-A12,2026-04-29T13:04:08.282Z
G01,28,remove,Doing,G01-A12,2026-04-29T13:04:08.282Z
G01,28,add,Review,G01-A15,2026-05-02T01:50:27.921Z
G01,28,remove,Waiting Review,G01-A15,2026-05-02T01:50:27.921Z
G01,28,remove,Review,G01-A14,2026-05-02T01:51:40.608Z
G01,29,add,DOCUMENTATION,G01-A17,2026-04-28T18:51:08.309Z
G01,29,add,CODE,G01-A17,2026-04-28T18:51:08.309Z
G01,29,add,ART.03,G01-A17,2026-04-28T18:51:29.481Z
G01,29,add,Doing,G01-A15,2026-05-02T02:56:24.333Z
G01,29,add,Waiting Review,G01-A15,2026-05-02T03:00:11.540Z
G01,29,remove,Doing,G01-A15,2026-05-02T03:00:11.540Z
G01,29,add,Review,G01-A14,2026-05-02T03:00:35.708Z
G01,29,remove,Waiting Review,G01-A14,2026-05-02T03:00:35.708Z
G01,29,add,M,G01-A15,2026-05-02T03:02:59.312Z
G01,29,remove,Review,G01-A14,2026-05-04T13:36:20.133Z
G01,30,add,DOCUMENTATION,G01-A14,2026-04-29T17:04:08.574Z
G01,30,add,CODE,G01-A14,2026-04-29T17:04:08.574Z
G01,30,add,ART.03,G01-A14,2026-04-29T17:04:08.574Z
G01,30,add,Doing,G01-A14,2026-04-29T17:04:26.302Z
G01,30,add,Waiting Review,G01-A14,2026-04-29T18:54:21.157Z
G01,30,remove,Doing,G01-A14,2026-04-29T18:54:21.157Z
G01,30,add,M,G01-A14,2026-04-30T02:44:31.833Z
G01,30,add,Review,G01-A12,2026-05-01T19:42:20.769Z
G01,30,remove,Waiting Review,G01-A12,2026-05-01T19:42:20.769Z
G01,30,remove,Review,G01-A12,2026-05-01T23:42:58.402Z
G01,31,add,DOCUMENTATION,[externo],2026-04-29T17:11:16.978Z
G01,31,add,DESIGN,[externo],2026-04-29T17:11:16.978Z
G01,31,add,M,[externo],2026-04-29T17:11:16.978Z
G01,31,add,ART.02,[externo],2026-04-29T17:11:16.978Z
G01,31,add,Backlog,[externo],2026-04-29T17:11:37.779Z
G01,31,add,Doing,[externo],2026-04-29T17:24:50.822Z
G01,31,remove,Backlog,[externo],2026-04-29T17:24:50.822Z
G01,31,add,Waiting Review,[externo],2026-04-29T20:58:20.409Z
G01,31,remove,Doing,[externo],2026-04-29T20:58:20.409Z
G01,31,add,Review,G01-A15,2026-04-30T01:40:20.597Z
G01,31,remove,Waiting Review,G01-A15,2026-04-30T01:40:20.597Z
G01,31,remove,Review,G01-A15,2026-05-02T01:50:18.693Z
G01,32,add,DOCUMENTATION,G01-A17,2026-04-29T17:12:39.551Z
G01,32,add,P,G01-A17,2026-04-29T17:12:46.679Z
G01,32,add,Backlog,G01-A17,2026-04-29T17:12:55.433Z
G01,32,add,Doing,G01-A17,2026-04-29T17:12:56.871Z
G01,32,remove,Backlog,G01-A17,2026-04-29T17:12:56.871Z
G01,32,add,Waiting Review,G01-A17,2026-04-29T17:52:41.999Z
G01,32,remove,Doing,G01-A17,2026-04-29T17:52:41.999Z
G01,32,add,Review,G01-A15,2026-04-30T01:40:22.141Z
G01,32,remove,Waiting Review,G01-A15,2026-04-30T01:40:22.141Z
G01,32,remove,Review,G01-A15,2026-05-02T01:50:17.193Z
G01,33,add,DOCUMENTATION,G01-A17,2026-04-29T17:41:02.402Z
G01,33,add,P,G01-A17,2026-04-29T17:41:02.402Z
G01,33,add,Backlog,G01-A17,2026-04-29T17:52:28.632Z
G01,33,add,Doing,G01-A17,2026-04-29T17:52:37.584Z
G01,33,remove,Backlog,G01-A17,2026-04-29T17:52:37.584Z
G01,33,add,Waiting Review,G01-A17,2026-04-29T18:16:28.603Z
G01,33,remove,Doing,G01-A17,2026-04-29T18:16:28.603Z
G01,33,add,Review,G01-A15,2026-04-30T01:40:18.883Z
G01,33,remove,Waiting Review,G01-A15,2026-04-30T01:40:18.883Z
G01,33,remove,Review,G01-A15,2026-05-02T01:50:20.054Z
G01,34,add,DOCUMENTATION,G01-A14,2026-04-30T01:31:51.658Z
G01,34,add,CODE,G01-A14,2026-04-30T01:31:51.658Z
G01,34,add,ART.03,G01-A14,2026-04-30T01:31:51.658Z
G01,34,add,Doing,G01-A14,2026-04-30T01:31:58.503Z
G01,34,add,Waiting Review,G01-A14,2026-04-30T02:44:13.206Z
G01,34,remove,Doing,G01-A14,2026-04-30T02:44:13.206Z
G01,34,add,M,G01-A14,2026-04-30T02:44:22.532Z
G01,34,add,Review,G01-A12,2026-05-01T19:42:22.350Z
G01,34,remove,Waiting Review,G01-A12,2026-05-01T19:42:22.350Z
G01,34,remove,Review,G01-A12,2026-05-01T23:42:57.001Z
G01,35,add,DOCUMENTATION,G01-A15,2026-04-30T01:38:23.847Z
G01,35,add,M,G01-A15,2026-04-30T01:38:23.847Z
G01,35,add,Doing,G01-A15,2026-04-30T01:38:32.545Z
G01,35,add,Waiting Review,G01-A12,2026-05-01T23:42:40.340Z
G01,35,remove,Doing,G01-A12,2026-05-01T23:42:40.340Z
